stop_id,stop_name,stop_lat,stop_lon,location_type
100000351,Tornio På Gränsen Rajala,65.843295,24.145137,
100083169,Lappia Yrkesskola (FIN),65.851576,24.136418,
100083170,Torneå Badhus (FIN),65.839902,24.177822,
100083171,Torppi Handelsområde (FIN),65.843543,24.183866,
510000027,Gorzow Wielkopolski,52.728473,15.227841,
510000051,Krakow Gl,50.067987,19.947349,
510000119,Szczecin,53.420483,14.552466,
510000139,Warszawa Zachodnia,52.218401,20.961754,
510000177,Poznan,52.402755,16.913948,
510000937,Katowice Sadowa,50.258993,19.011149,
510005320,Wroclaw Dworzec autobusowy,53.615125,17.597223,
540099998,Praha UAN Florenc,50.089403,14.440369,
740000001,Stockholm Centralstation,59.330140,18.058154,
740000002,Göteborg Centralstation,57.708896,11.973479,
740000003,Malmö Centralstation,55.609459,13.000913,
740000004,Alvesta station,56.898782,14.556318,
740000005,Uppsala Centralstation,59.858534,17.646086,
740000006,Hässleholm Centralstation,56.157760,13.763138,
740000007,Norrköping Centralstation,58.596627,16.183346,
740000008,Skövde Centralstation,58.390897,13.853193,
740000009,Linköping Centralstation,58.416636,15.624963,
740000011,Teckomatorp station,55.870590,13.086124,
740000012,Vargön station,58.359222,12.392533,
740000014,Stenungsund station,58.072593,11.824760,
740000015,Boxholm station,58.193655,15.054148,
740000016,Vara station,58.260825,12.951876,
740000017,Hasslö Fabian Månsons väg,56.112499,15.470072,
740000018,Alingsås station,57.926862,12.532493,
740000019,Leksand station,60.733992,15.003328,
740000020,Kalmar Centralstation,56.661283,16.360067,
740000021,Kinnared station,57.026158,13.105521,
740000022,Perstorp station,56.136360,13.397194,
740000023,Säffle station,59.132230,12.916875,
740000024,Söderbärke station,60.072478,15.537071,
740000025,Storlien station,63.316084,12.099117,
740000026,Säter station,60.346491,15.757054,
740000027,Märsta station,59.628182,17.861620,
740000028,Ystad station,55.427318,13.824574,
740000029,Lönsboda busstation,56.396507,14.320809,
740000030,Falun Centralstation,60.603289,15.641624,
740000031,Flemingsberg station,59.217958,17.945682,
740000032,Bräcke station,62.750053,15.417084,
740000034,Forserum station,57.697836,14.473973,
740000035,Axvall centrum,58.388539,13.574720,
740000036,Floby station,58.139308,13.335301,
740000037,Ånn station,63.321229,12.538906,
740000038,Marstrand färjeläge,57.886696,11.588767,
740000039,Mellerud station,58.701861,12.464743,
740000040,Herrljunga station,58.079188,13.021275,
740000041,Tranås station,58.037968,14.975024,
740000042,Hedemora station,60.274001,15.980318,
740000043,Sollefteå station,63.166989,17.264906,
740000044,Helsingborg Centralstation,56.044404,12.694261,
740000045,Älmhult station,56.551427,14.136985,
740000046,Ramnäs station,59.769764,16.208184,
740000048,Charlottenberg station,59.883973,12.297647,
740000049,Södertälje hamn station,59.179302,17.646538,
740000050,Nyköping Centralstation,58.755686,16.994783,
740000051,Sollerön centrum,60.915527,14.617196,
740000052,Värnamo station,57.186285,14.035722,
740000053,Skellefteå busstation,64.753595,20.949227,
740000054,Hällevadsholm station,58.579860,11.535762,
740000055,Södertälje Syd station,59.162411,17.645368,
740000056,Överby station,58.843340,11.259378,
740000057,Trönninge,56.618004,12.946501,
740000058,Laholm station,56.501910,12.999604,
740000059,Björkliden station,68.406594,18.686673,
740000060,Falköping Centralstation,58.176101,13.553794,
740000062,Smedjebacken station,60.136322,15.405814,
740000063,Enafors station,63.289993,12.337211,
740000064,Ängelholm station,56.245203,12.854194,
740000065,Dingle station,58.529480,11.578970,
740000066,Nol station,57.918463,12.061957,
740000067,Läggesta station,59.248419,17.168021,
740000069,Ronneby station,56.206976,15.282938,
740000070,Karlstad Centralstation,59.377798,13.499047,
740000071,Gårdsjö station,58.871917,14.333547,
740000072,Enköping station,59.644325,17.086745,
740000073,Karlshamn station,56.176512,14.868018,
740000074,Kristineberg Lycksele,65.060466,18.573731,
740000075,Skee station,58.923380,11.261879,
740000076,Åmål station,59.046416,12.698150,
740000077,Hallsberg station,59.066699,15.110387,
740000078,Sävsjö station,57.402850,14.665306,
740000079,Sölvesborg station,56.049941,14.582737,
740000080,Halmstad Centralstation,56.669273,12.864841,
740000081,Nödinge station,57.893120,12.044648,
740000082,Västervik station,57.755506,16.643235,
740000083,Håkantorp station,58.307046,12.907293,
740000084,Eksjö station,57.663798,14.975676,
